Empresa,Año,ACTIVO FIJO,ACTIVO CORRIENTE,OTROS ACTIVOS,PASIVO A LARGO PLAZO,PASIVO CORRIENTE,OTROS PASIVOS,CAPITAL SOCIAL,OTROS PATRIMONIO,TOTAL PATRIMONIO,INGRESOS OPERACIONALES,OTROS INGRESOS,COSTOS Y GASTOS OPERACIONALES,OTROS GASTOS,UTILIDAD (PERDIDA) OPERACIONAL,PROVISION PARA IMPUESTOS,UTILIDAD (PERDIDA) NETA,TIPO_EMPRESA
REGIONAL EXPRESS AMERICA ,2021.0,7690123,117339018.0,0,6224990,177665680,0.0,6168800.0,0,-58861529.0,120595436,0,175621699,0,-55026263,6815599,-61710380,COMERCIAL
REGIONAL EXPRESS AMERICA ,2022,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,-2147483648.0,0,-2147483648.0,-2147483648,-2147483648,-2147483648,184902000,-2147483648,-2147483648,-2147483648,COMERCIAL
REGIONAL EXPRESS AMERICA ,2023.0,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,-2147483648.0,0,-2147483648.0,-2147483648,622096000,-2147483648,-2147483648,-2147483648,377067000,-2147483648,COMERCIAL
VIVA AIR,2008,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,COMERCIAL
VIVA AIR,2009.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,COMERCIAL
VIVA AIR,2010.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,COMERCIAL
VIVA AIR,2011.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,COMERCIAL
VIVA AIR,2012,660386,20521223.0,15063770,2090208,39307008,0.0,5983680.0,6369373,-5151837.0,46810244,724234,64091207,870161,-17280963,78000,-17504890,COMERCIAL
VIVA AIR,2012.0,660386,20521223.0,15063770,2090208,39307008,0.0,5983680.0,6369373,-5151837.0,46810244,724234,64091207,870161,-17280963,78000,-17504890,COMERCIAL
VIVA AIR,2013,2189488,35800545.0,13230118,3291956,43041389,0.0,6012960.0,16736926,4886806.0,159957960,2406824,169115052,2077998,-9157092,244,-8828510,COMERCIAL
VIVA AIR,2013.0,2189488,35800545.0,13230118,3291956,43041389,0.0,6012960.0,16736926,4886806.0,159957960,2406824,169115052,2077998,-9157092,244,-8828510,COMERCIAL
VIVA AIR,2014,3901474,80106010.0,12793469,4122058,77335726,0.0,6012960.0,16736926,15343169.0,234581014,1141099,219585161,0,14995853,6195340,9941612,COMERCIAL
VIVA AIR,2014.0,3901474,79159451.0,14188893,3777406,77335726,0.0,6012960.0,16736926,16136686.0,232777219,11980279,224181218,7808513,8596001,1517887,11249880,COMERCIAL
VIVA AIR,2015,6546884,106869688.0,20389140,2899800,112647784,0.0,6800000.0,15949886,18258128.0,357714636,1877531,350425499,0,7289137,6251709,2914959,COMERCIAL
VIVA AIR,2015.0,6546884,106854252.0,20389140,2899800,112632348,0.0,6800000.0,15949886,18258128.0,357714636,1877531,350425499,0,7289137,6251709,2914959,COMERCIAL
